Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0086979,2025-08-03,2025-08-03,,"Blood Simple","Blood Simple",https://www.imdb.com/title/tt0086979/,Movie,7.5,99,1984,"Crime, Drama, Thriller",112504,1985-01-18,"Joel Coen, Ethan Coen",,
2,tt0099703,2025-08-03,2025-08-03,,"The Grifters","The Grifters",https://www.imdb.com/title/tt0099703/,Movie,6.8,110,1990,"Crime, Drama, Thriller",32966,1991-01-25,"Stephen Frears",,
3,tt28607951,2025-08-03,2025-08-03,,"Anora","Anora",https://www.imdb.com/title/tt28607951/,Movie,7.4,139,2024,"Comedy, Drama, Romance",256578,2024-11-08,"Sean Baker",,
4,tt1000769,2025-08-03,2025-08-03,,"Prince of Broadway","Prince of Broadway",https://www.imdb.com/title/tt1000769/,Movie,7.2,100,2008,"Drama",1576,2010-09-03,"Sean Baker",,
