Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt31514146,2026-01-02,2026-01-02,,"I Swear","I Swear",https://www.imdb.com/title/tt31514146/,Movie,8.5,120,2025,"Biography, Drama, History",7069,2025-10-10,"Kirk Jones",,
2,tt14961016,2026-01-02,2026-01-02,,"I'm Still Here","Ainda Estou Aqui",https://www.imdb.com/title/tt14961016/,Movie,8.1,137,2024,"Biography, Drama, History",141372,2025-02-07,"Walter Salles",,
3,tt36491653,2026-01-02,2026-01-02,,"It Was Just an Accident","Yek tasadof-e sadeh",https://www.imdb.com/title/tt36491653/,Movie,7.6,103,2025,"Crime, Drama, Mystery, Thriller",13142,2025-10-15,"Jafar Panahi",,
4,tt9362736,2026-01-02,2026-01-02,,"Die My Love","Die My Love",https://www.imdb.com/title/tt9362736/,Movie,6.1,119,2025,"Drama, Thriller",26117,2025-11-07,"Lynne Ramsay",,
