Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1173745,2025-08-11,2025-08-11,,"Revanche","Revanche",https://www.imdb.com/title/tt1173745/,Movie,7.5,121,2008,"Crime, Drama, Romance, Thriller",17038,2008-05-16,"Götz Spielmann",,
2,tt0067961,2025-08-11,2025-08-11,,"Wanda","Wanda",https://www.imdb.com/title/tt0067961/,Movie,7.1,102,1970,"Crime, Drama",6703,1971-01-14,"Barbara Loden",,
3,tt4936450,2025-08-11,2025-08-11,,"Graduation","Bacalaureat",https://www.imdb.com/title/tt4936450/,Movie,7.3,128,2016,"Crime, Drama",15364,2016-05-20,"Cristian Mungiu",,
4,tt0099703,2025-08-11,2025-08-11,,"The Grifters","The Grifters",https://www.imdb.com/title/tt0099703/,Movie,6.8,110,1990,"Crime, Drama, Thriller",32966,1991-01-25,"Stephen Frears",,
5,tt0203230,2025-08-11,2025-08-11,,"You Can Count on Me","You Can Count on Me",https://www.imdb.com/title/tt0203230/,Movie,7.5,111,2000,"Drama",33050,2000-12-22,"Kenneth Lonergan",,
6,tt0067800,2025-08-11,2025-08-11,,"Straw Dogs","Straw Dogs",https://www.imdb.com/title/tt0067800/,Movie,7.4,113,1971,"Crime, Drama, Thriller",67697,1971-12-22,"Sam Peckinpah",,
