Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0103064,2023-09-08,2023-09-08,,"Terminator 2: Judgment Day","Terminator 2: Judgment Day",https://www.imdb.com/title/tt0103064/,Movie,8.6,137,1991,"Action, Adventure, Sci-Fi",1267812,1991-07-03,"James Cameron",,
2,tt0780536,2023-11-29,2023-11-29,,"In Bruges","In Bruges",https://www.imdb.com/title/tt0780536/,Movie,7.9,107,2008,"Comedy, Crime, Drama, Thriller",488223,2008-02-29,"Martin McDonagh",,
3,tt0353969,2025-04-21,2025-04-21,,"Memories of Murder","Salinui chueok",https://www.imdb.com/title/tt0353969/,Movie,8.1,132,2003,"Crime, Drama, Mystery, Thriller",258046,2003-05-02,"Bong Joon Ho",,
