Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt21454134,2024-07-12,2024-07-12,,"The Bikeriders","The Bikeriders",https://www.imdb.com/title/tt21454134/,Movie,6.6,116,2023,"Crime, Drama",75102,2024-06-21,"Jeff Nichols",,
2,tt22375054,2025-01-10,2025-01-10,,"Strange Darling","Strange Darling",https://www.imdb.com/title/tt22375054/,Movie,7.0,97,2023,"Horror, Thriller",65679,2024-08-23,"JT Mollner",,
3,tt22207786,2025-01-10,2025-01-10,,"Red Rooms","Les chambres rouges",https://www.imdb.com/title/tt22207786/,Movie,7.1,118,2023,"Crime, Horror, Mystery, Thriller",19678,2024-01-17,"Pascal Plante",,
4,tt0166896,2025-01-20,2025-01-20,,"The Straight Story","The Straight Story",https://www.imdb.com/title/tt0166896/,Movie,8.0,112,1999,"Biography, Drama",107223,1999-11-03,"David Lynch",,
5,tt0098936,2025-01-20,2025-01-20,,"Twin Peaks","Twin Peaks",https://www.imdb.com/title/tt0098936/,TV Series,8.7,50,1990,"Crime, Drama, Mystery, Thriller",241042,1990-04-08,,,
6,tt0074486,2025-01-20,2025-01-20,,"Eraserhead","Eraserhead",https://www.imdb.com/title/tt0074486/,Movie,7.2,89,1977,"Fantasy, Horror",141308,1978-02-03,"David Lynch",,
7,tt0119488,2025-04-30,2025-04-30,,"L.A. Confidential","L.A. Confidential",https://www.imdb.com/title/tt0119488/,Movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",653146,1997-09-19,"Curtis Hanson",,
8,tt31176520,2025-07-19,2025-07-19,,"Eddington","Eddington",https://www.imdb.com/title/tt31176520/,Movie,6.6,148,2025,"Comedy, Drama, Western",46479,2025-07-18,"Ari Aster",,
9,tt32298285,2026-01-02,2026-01-02,,"Sirat","Sirât",https://www.imdb.com/title/tt32298285/,Movie,7.0,115,2025,"Action, Adventure, Drama, Music, Mystery, Thriller",11957,2026-01,"Oliver Laxe",,
