Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0091983,2025-11-13,2025-11-13,,"Something Wild","Something Wild",https://www.imdb.com/title/tt0091983/,Movie,6.9,114,1986,"Comedy, Crime, Romance, Thriller",23236,1986-11-07,"Jonathan Demme",,
2,tt0058182,2025-11-13,2025-11-13,,"A Hard Day's Night","A Hard Day's Night",https://www.imdb.com/title/tt0058182/,Movie,7.5,87,1964,"Comedy, Musical",50622,1964-07-07,"Richard Lester",,
3,tt0089374,2025-11-13,2025-11-13,,"Police Story","Ging chaat goo si",https://www.imdb.com/title/tt0089374/,Movie,7.5,100,1985,"Action, Comedy, Crime, Thriller",46544,1985-12-14,"Jackie Chan",,
4,tt0095403,2025-11-13,2025-11-13,,"Police Story 2","Ging chaat goo si juk jaap",https://www.imdb.com/title/tt0095403/,Movie,7.1,101,1988,"Action, Comedy, Crime, Thriller",24702,1988-08-20,"Jackie Chan",,
