Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0079944,2024-11-01,2024-11-01,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Movie,8.0,162,1979,"Drama, Sci-Fi",154864,1980-04-17,"Andrei Tarkovsky",,
2,tt0054189,2024-11-01,2024-11-01,,"Purple Noon","Plein soleil",https://www.imdb.com/title/tt0054189/,Movie,7.7,118,1960,"Crime, Drama, Thriller",23474,1960-03-10,"René Clément",,
3,tt0046268,2024-11-01,2024-11-01,,"The Wages of Fear","Le salaire de la peur",https://www.imdb.com/title/tt0046268/,Movie,8.1,156,1953,"Adventure, Drama, Thriller",72632,1955-02-16,"Henri-Georges Clouzot",,
4,tt0085859,2024-11-01,2024-11-01,,"Local Hero","Local Hero",https://www.imdb.com/title/tt0085859/,Movie,7.3,111,1983,"Comedy, Drama",29157,1983-04-29,"Bill Forsyth",,
5,tt0091538,2024-11-01,2024-11-01,,"Mona Lisa","Mona Lisa",https://www.imdb.com/title/tt0091538/,Movie,7.3,104,1986,"Crime, Drama, Romance, Thriller",20174,1986-06-13,"Neil Jordan",,
6,tt0048424,2024-11-01,2024-11-01,,"The Night of the Hunter","The Night of the Hunter",https://www.imdb.com/title/tt0048424/,Movie,8.0,92,1955,"Crime, Drama, Film-Noir, Thriller",106333,1955-07-27,"Charles Laughton",,
