Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt14205554,2026-01-01,2026-01-01,,"KPop Demon Hunters","KPop Demon Hunters",https://www.imdb.com/title/tt14205554/,Movie,7.5,95,2025,"Animation, Action, Adventure, Comedy, Family, Fantasy, Music, Musical",107828,2025-06-20,"Chris Appelhans, Maggie Kang",,
2,tt30988739,2026-01-01,2026-01-01,,"Black Bag","Black Bag",https://www.imdb.com/title/tt30988739/,Movie,6.7,93,2025,"Drama, Mystery, Romance, Thriller",83766,2025-03-14,"Steven Soderbergh",,
3,tt19403516,2026-01-01,2026-01-01,,"Hallow Road","Hallow Road",https://www.imdb.com/title/tt19403516/,Movie,6.0,80,2025,"Drama, Horror, Thriller",8372,2025-05-16,"Babak Anvari",,
4,tt32843349,2026-01-01,2026-01-01,,"Sorry, Baby","Sorry, Baby",https://www.imdb.com/title/tt32843349/,Movie,7.2,103,2025,"Comedy, Drama",15730,2025-07-25,"Eva Victor",,
5,tt31227572,2026-01-01,2026-01-01,,"Predator: Badlands","Predator: Badlands",https://www.imdb.com/title/tt31227572/,Movie,7.3,107,2025,"Action, Adventure, Sci-Fi, Thriller",65532,2025-11-07,"Dan Trachtenberg",,
6,tt36463894,2026-01-01,2026-01-01,,"Predator: Killer of Killers","Predator: Killer of Killers",https://www.imdb.com/title/tt36463894/,Movie,7.4,85,2025,"Animation, Action, Adventure, Sci-Fi, Thriller",54985,2025-06-06,"Dan Trachtenberg, Joshua Wassung",,
7,tt31844586,2026-01-01,2026-01-01,,"Sisu: Road to Revenge","Sisu 2",https://www.imdb.com/title/tt31844586/,Movie,6.9,89,2025,"Action, War",17458,2025-11-21,"Jalmari Helander",,
8,tt27674982,2026-01-01,2026-01-01,,"The Ballad of Wallis Island","The Ballad of Wallis Island",https://www.imdb.com/title/tt27674982/,Movie,7.4,99,2025,"Comedy, Drama, Music, Romance",16924,2025-04-18,"James Griffiths",,
