Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0063555,2025-01-29,2025-01-29,,"The Color of Pomegranates","Sayat Nova",https://www.imdb.com/title/tt0063555/,Movie,7.6,79,1969,"Biography, Drama, History, Music",16002,1982-01-27,"Sergei Parajanov",,
2,tt0067445,2025-01-29,2025-01-29,,"Death in Venice","Morte a Venezia",https://www.imdb.com/title/tt0067445/,Movie,7.3,130,1971,"Drama, Romance",24565,1971-06-01,"Luchino Visconti",,
3,tt0057710,2025-01-29,2025-01-29,,"An Actor's Revenge","Yukinojô henge",https://www.imdb.com/title/tt0057710/,Movie,7.3,115,1963,"Action, Comedy, Drama",3129,1971-06-16,"Kon Ichikawa",,
4,tt0079041,2025-01-29,2025-01-29,,"Demon Pond","Yashagaike",https://www.imdb.com/title/tt0079041/,Movie,7.0,123,1979,"Fantasy, Romance",1139,1979-10-20,"Masahiro Shinoda",,
5,tt0022913,2025-01-29,2025-01-29,,"Freaks","Freaks",https://www.imdb.com/title/tt0022913/,Movie,7.8,64,1932,"Drama, Horror",54152,1932-02-20,"Tod Browning",,
6,tt0018528,2025-01-29,2025-01-29,,"The Unknown","The Unknown",https://www.imdb.com/title/tt0018528/,Movie,7.7,68,1927,"Drama, Horror, Romance, Thriller",10142,1927-06-04,"Tod Browning",,
7,tt0016142,2025-01-29,2025-01-29,,"The Mystic","The Mystic",https://www.imdb.com/title/tt0016142/,Movie,6.7,74,1925,"Crime, Drama",670,1925-09-27,"Tod Browning",,
8,tt0055018,2025-01-29,2025-01-29,,"The Innocents","The Innocents",https://www.imdb.com/title/tt0055018/,Movie,7.7,100,1961,"Drama, Horror, Mystery, Thriller",35664,1961-12-15,"Jack Clayton",,
