Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0116922,2025-09-23,2025-09-23,,"Lost Highway","Lost Highway",https://www.imdb.com/title/tt0116922/,Movie,7.6,134,1997,"Drama, Mystery, Thriller",167700,1997-01-15,"David Lynch",,
2,tt0181865,2025-09-23,2025-09-23,,"Traffic","Traffic",https://www.imdb.com/title/tt0181865/,Movie,7.5,147,2000,"Crime, Drama, Thriller",228746,2001-01-05,"Steven Soderbergh",,
3,tt0087995,2025-09-23,2025-09-23,,"Repo Man","Repo Man",https://www.imdb.com/title/tt0087995/,Movie,6.8,92,1984,"Comedy, Crime, Sci-Fi, Thriller",44746,1984-03-02,"Alex Cox",,
4,tt0091954,2025-09-23,2025-09-23,,"Sid and Nancy","Sid and Nancy",https://www.imdb.com/title/tt0091954/,Movie,7.0,112,1986,"Biography, Drama, Music, Romance",36565,1986-11-07,"Alex Cox",,
5,tt0097240,2025-09-23,2025-09-23,,"Drugstore Cowboy","Drugstore Cowboy",https://www.imdb.com/title/tt0097240/,Movie,7.2,102,1989,"Crime, Drama",43542,1989-10-20,"Gus Van Sant",,
6,tt0477348,2025-09-23,2025-09-23,,"No Country for Old Men","No Country for Old Men",https://www.imdb.com/title/tt0477348/,Movie,8.2,122,2007,"Crime, Drama, Thriller",1166417,2007-11-21,"Ethan Coen, Joel Coen",,
