Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt4093826,2025-01-20,2025-01-20,,"Twin Peaks","Twin Peaks",https://www.imdb.com/title/tt4093826/,TV Series,8.5,60,2017,"Crime, Drama, Horror, Mystery",87323,2017-05-21,,,
2,tt0074486,2025-01-20,2025-01-20,,"Eraserhead","Eraserhead",https://www.imdb.com/title/tt0074486/,Movie,7.2,89,1977,"Fantasy, Horror",141308,1978-02-03,"David Lynch",,
3,tt0166896,2025-01-20,2025-01-20,,"The Straight Story","The Straight Story",https://www.imdb.com/title/tt0166896/,Movie,8.0,112,1999,"Biography, Drama",107223,1999-11-03,"David Lynch",,
4,tt16431966,2025-02-02,2025-02-02,,"Sometimes I Think About Dying","Sometimes I Think About Dying",https://www.imdb.com/title/tt16431966/,Movie,6.6,94,2023,"Comedy, Drama, Romance",7523,2024-03-12,"Rachel Lambert",,
5,tt21823606,2025-02-08,2025-02-08,,"A Real Pain","A Real Pain",https://www.imdb.com/title/tt21823606/,Movie,7.0,90,2024,"Comedy, Drama",135723,2024-11-15,"Jesse Eisenberg",,
6,tt0077405,2025-04-05,2025-04-05,,"Days of Heaven","Days of Heaven",https://www.imdb.com/title/tt0077405/,Movie,7.7,94,1978,"Drama, Romance",67789,1978-10-06,"Terrence Malick",,
