Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0067309,2024-10-21,2024-10-21,,"Klute","Klute",https://www.imdb.com/title/tt0067309/,Movie,7.1,114,1971,"Crime, Mystery, Thriller",33078,1971-06-25,"Alan J. Pakula",,
2,tt0079944,2024-10-21,2024-10-21,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Movie,8.0,162,1979,"Drama, Sci-Fi",154864,1980-04-17,"Andrei Tarkovsky",,
3,tt15376894,2024-10-21,2024-10-21,,"Saint Omer","Saint Omer",https://www.imdb.com/title/tt15376894/,Movie,6.8,122,2022,"Drama",6179,2022-11-23,"Alice Diop",,
