Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0064541,2025-11-02,2025-11-02,,"Kes","Kes",https://www.imdb.com/title/tt0064541/,Movie,7.9,111,1969,"Drama, Family",25097,1970-04-03,"Ken Loach",,
2,tt0112817,2025-11-02,2025-11-02,,"Dead Man","Dead Man",https://www.imdb.com/title/tt0112817/,Movie,7.5,121,1995,"Adventure, Drama, Western",108059,1996-05-10,"Jim Jarmusch",,
3,tt0091867,2025-11-02,2025-11-02,,"A Room with a View","A Room with a View",https://www.imdb.com/title/tt0091867/,Movie,7.2,117,1985,"Drama, Romance",51647,1986-04-11,"James Ivory",,
