Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0111495,2025-01-27,2025-01-27,,"Three Colors: Red","Trois couleurs: Rouge",https://www.imdb.com/title/tt0111495/,Movie,8.1,99,1994,"Drama, Mystery, Romance",115846,1994-11-23,"Krzysztof Kieslowski",,
2,tt0111507,2025-01-27,2025-01-27,,"Three Colors: White","Trois couleurs: Blanc",https://www.imdb.com/title/tt0111507/,Movie,7.6,92,1994,"Comedy, Drama, Romance",84671,1994-06-10,"Krzysztof Kieslowski",,
3,tt0892255,2025-01-27,2025-01-27,,"Che: Part One","Che: Part One",https://www.imdb.com/title/tt0892255/,Movie,7.1,134,2008,"Biography, Drama, History, War",49482,2009-01-24,"Steven Soderbergh",,
4,tt0049531,2025-01-27,2025-01-27,,"The Mystery of Picasso","Le mystère Picasso",https://www.imdb.com/title/tt0049531/,Movie,7.5,78,1956,"Documentary, Biography, History",2890,1956-05-18,"Henri-Georges Clouzot",,
5,tt0087280,2025-01-27,2025-01-27,,"The Element of Crime","Forbrydelsens element",https://www.imdb.com/title/tt0087280/,Movie,6.7,104,1984,"Crime, Drama, Thriller",12084,1984-05-14,"Lars von Trier",,
6,tt0092972,2025-01-27,2025-01-27,,"Epidemic","Epidemic",https://www.imdb.com/title/tt0092972/,Movie,5.9,106,1987,"Drama, Horror",6581,1987-09-11,"Lars von Trier",,
7,tt0101829,2025-01-27,2025-01-27,,"Europa","Europa",https://www.imdb.com/title/tt0101829/,Movie,7.5,108,1991,"Crime, Drama, Thriller",24421,1991-06-27,"Lars von Trier",,
8,tt0064940,2025-01-27,2025-01-27,,"Satyricon","Fellini - Satyricon",https://www.imdb.com/title/tt0064940/,Movie,6.8,129,1969,"Drama, Fantasy",18015,1970-03-11,"Federico Fellini",,
